Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,mu_omega,0.5,0.3123332333861041,-0.18766676661389592,0.03521881529131448,0.18766676661389592,0.12122984085301997,0.5116560137788404,True,2641.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,sigma_omega,1.0,1.2649754056426172,0.26497540564261723,0.07021196559546955,0.26497540564261723,0.7677235686856687,1.62364707402901,True,1218.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,sigma_direct,1.2,1.190091546948322,-0.009908453051677979,9.817744187730666e-05,0.009908453051677979,0.7023047293161885,1.598922171825392,True,1184.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8147915192809032,0.014791519280903165,0.00021878904263733008,0.014791519280903165,0.3316747763860186,1.2591826169672469,True,1386.0,1.0,0,40.7860369682312
Independent,Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,Z,,0.9451611450661334,,,,0.93624040900115,0.949492204672145,,2184.0,1.0,0,40.7860369682312
