Scenario,ZPrior,MuPriorSD,SigmaOmegaPrior,Status,Divergences,ElapsedSeconds,TraceFile,TraceplotFile,TraceSaveWarning,Error
14,Beta_2_2_constrained,2,HalfCauchy_beta2p5,success,0,43.20681285858154,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_14_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_14_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta2p5.png,,
15,Beta_2_2_constrained,2,HalfCauchy_beta5,success,0,41.98185634613037,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_15_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_15_Beta_2_2_constrained_mu2_sigmaHalfCauchy_beta5.png,,
16,Beta_2_2_constrained,2,HalfNormal_sigma2,success,0,39.49496245384216,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_16_Beta_2_2_constrained_mu2_sigmaHalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_16_Beta_2_2_constrained_mu2_sigmaHalfNormal_sigma2.png,,
17,Beta_2_2_constrained,5,HalfCauchy_beta1,success,0,46.187825202941895,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_17_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_17_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta1.png,,
18,Beta_2_2_constrained,5,HalfCauchy_beta2p5,success,0,41.96958661079407,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_18_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_18_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta2p5.png,,
19,Beta_2_2_constrained,5,HalfCauchy_beta5,success,0,41.722339153289795,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_19_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_19_Beta_2_2_constrained_mu5_sigmaHalfCauchy_beta5.png,,
20,Beta_2_2_constrained,5,HalfNormal_sigma2,success,0,40.35825729370117,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_20_Beta_2_2_constrained_mu5_sigmaHalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_20_Beta_2_2_constrained_mu5_sigmaHalfNormal_sigma2.png,,
21,Beta_2_2_constrained,10,HalfCauchy_beta1,success,0,45.330443143844604,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_21_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_21_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta1.png,,
22,Beta_2_2_constrained,10,HalfCauchy_beta2p5,success,0,42.469682931900024,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_22_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_22_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta2p5.png,,
23,Beta_2_2_constrained,10,HalfCauchy_beta5,success,0,40.7860369682312,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_23_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_23_Beta_2_2_constrained_mu10_sigmaHalfCauchy_beta5.png,,
24,Beta_2_2_constrained,10,HalfNormal_sigma2,success,0,39.937647104263306,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\posterior_traces\scenario_24_Beta_2_2_constrained_mu10_sigmaHalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_sampledZ_results\traceplots\traceplot_scenario_24_Beta_2_2_constrained_mu10_sigmaHalfNormal_sigma2.png,,
