Parameter,MeanPosterior,MeanRMSE,MinRMSE,MaxRMSE,CoverageRate,MinESS,MaxRhat,MaxDivergences
sigma_direct,1.2103900536890826,0.013700570339555629,0.00021704272659639479,0.037816901910509015,1.0,740.0,1.01,0
sigma_collateral,0.8274500320823545,0.027450032082354466,0.007974854922371044,0.05062499304953094,1.0,867.0,1.01,0
mu_omega,0.31481158448757945,0.18518841551242057,0.17861698585855063,0.18969362614706542,1.0,1806.0,1.0,0
sigma_omega,1.239212555777728,0.23921255577772796,0.19749819875880625,0.27263874267436994,1.0,616.0,1.01,0
