ZPrior,MuPrior,SigmaPrior,mu_omega,sigma_collateral,sigma_direct,sigma_omega
Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta1,0.3103063738529346,0.8482445898425838,1.2333183813185675,1.1974981987588063
Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta2p5,0.3160592820139667,0.8164115757924044,1.1993002840431135,1.2558908298616989
Beta_1_1_constrained,"N(0,10²)",HalfCauchy_beta5,0.315378898457482,0.8234941735590101,1.2002170427265964,1.253422950609314
Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,0.3148422031173021,0.8305361043834052,1.2015346482608915,1.25045686837017
Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta1,0.3166530610064965,0.836011865792037,1.2216558724755937,1.2235360952367214
Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta2p5,0.3116015274349042,0.8117140419902861,1.2013476779254195,1.2514853936845602
Beta_1_1_constrained,"N(0,2²)",HalfCauchy_beta5,0.31403553235690074,0.8079748549223711,1.1868817343724527,1.2635377500904044
Beta_1_1_constrained,"N(0,2²)",HalfNormal_sigma2,0.3140277559065598,0.8348782403059659,1.21749633143592,1.234979359706795
Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta1,0.31281048933093014,0.8340013778535499,1.2307224433684723,1.2121212133071835
Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta2p5,0.3157298650384688,0.8175655505505411,1.204962444046588,1.2469064117160442
Beta_1_1_constrained,"N(0,5²)",HalfCauchy_beta5,0.3153078416224607,0.8228636508591347,1.20222840689857,1.2499527193275035
Beta_1_1_constrained,"N(0,5²)",HalfNormal_sigma2,0.31452985639488645,0.8217834411561453,1.2048335222781383,1.2493589485358183
Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta1,0.31444694738536216,0.8495403805629467,1.237816901910509,1.207706682608791
Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta2p5,0.3213830141414494,0.8242854240609954,1.2060315222887685,1.2418950521809033
Beta_2_2_constrained,"N(0,10²)",HalfCauchy_beta5,0.3123332333861041,0.8147915192809032,1.190091546948322,1.2649754056426172
Beta_2_2_constrained,"N(0,10²)",HalfNormal_sigma2,0.31513597055949527,0.8259133225960409,1.2125392004986406,1.2390388305521551
Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta1,0.3150429246391998,0.8441723330694934,1.2332578044627898,1.2079441685472503
Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta2p5,0.31444510814684007,0.8260594367669828,1.2125120003826801,1.2359101970326847
Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta5,0.3142858164931139,0.8233074952078367,1.207628236488012,1.247398517151707
Beta_2_2_constrained,"N(0,2²)",HalfNormal_sigma2,0.31361584578300983,0.8265485902117893,1.2062565856320784,1.2472031970533293
Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta1,0.3151592458463908,0.850624993049531,1.2335359572540174,1.2104184781987064
Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta2p5,0.31785265588804223,0.8293278324608421,1.2107896202304391,1.2342484419172701
Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta5,0.3146273827255466,0.8137188082227551,1.1840002348304357,1.27263874267437
Beta_2_2_constrained,"N(0,5²)",HalfNormal_sigma2,0.31586719617405945,0.8250311674789571,1.210402888460966,1.2425768859006676
