ZPrior,MeanZ,MinZ,MaxZ,MeanLower95CrI,MeanUpper95CrI,MinESS,MaxRhat
Beta_1_1_constrained,0.9475417617935274,0.9474619937083334,0.9476078872387538,0.9409813750822127,0.9499441606122557,1722.0,1.0
Beta_2_2_constrained,0.9451248592414127,0.9449957934143612,0.9451905656637445,0.9362297877869791,0.9494551933736363,1846.0,1.0
