ZPrior,Parameter,MeanPosterior,MeanRMSE,CoverageRate,MinESS,MaxRhat
Beta_1_1_constrained,mu_omega,0.3142735572111077,0.18572644278889228,1.0,2258.0,1.0
Beta_2_2_constrained,mu_omega,0.31534961176405113,0.18465038823594884,1.0,1806.0,1.0
Beta_1_1_constrained,sigma_collateral,0.8254566222506196,0.02545662225061951,1.0,867.0,1.01
Beta_2_2_constrained,sigma_collateral,0.8294434419140894,0.02944344191408942,1.0,1036.0,1.0
Beta_1_1_constrained,sigma_direct,1.2087082324291936,0.011011229359932614,1.0,740.0,1.01
Beta_2_2_constrained,sigma_direct,1.2120718749489716,0.016389911319178645,1.0,831.0,1.01
Beta_1_1_constrained,sigma_omega,1.240762228267085,0.24076222826708496,1.0,616.0,1.01
Beta_2_2_constrained,sigma_omega,1.237662883288371,0.237662883288371,1.0,792.0,1.01
