Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR1,0.7,"N(0,2Â²)",HalfCauchy_beta1,mu_omega,0.5,0.460369435272489,-0.039630564727510975,0.001570581660621437,0.039630564727510975,0.2509911736426984,0.6672100246578816,True,3027.0,1.0,0,27.807724237442017
AR1,0.7,"N(0,2Â²)",HalfCauchy_beta1,sigma_omega,1.0,1.0446575371706244,0.04465753717062437,0.0019942956261456975,0.04465753717062437,0.8463256310810325,1.2622346613820141,True,1314.0,1.0,0,27.807724237442017
AR1,0.7,"N(0,2Â²)",HalfCauchy_beta1,rho,0.85,0.8770924572827076,0.027092457282707594,0.0007340012416153358,0.027092457282707594,0.7227121297505265,0.9803470378200424,True,1544.0,1.0,0,27.807724237442017
AR1,0.7,"N(0,2Â²)",HalfCauchy_beta1,sigma_direct,1.2,1.1855495827598759,-0.01445041724012408,0.00020881455841367526,0.01445041724012408,0.9488120607941951,1.4216736221322754,True,2005.0,1.0,0,27.807724237442017
AR1,0.7,"N(0,2Â²)",HalfCauchy_beta1,sigma_collateral,0.8,0.7417112122705987,-0.05828878772940138,0.003397582774963213,0.05828878772940138,0.4771991742020808,0.967917642460322,True,1746.0,1.0,0,27.807724237442017
AR1,0.7,"N(0,2Â²)",HalfCauchy_beta1,Z_fixed,,0.7,,,,,,,,,0,27.807724237442017
