Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta5,mu_omega,0.5,0.43853208894061063,-0.06146791105938937,0.003778304090005002,0.06146791105938937,0.20567396367615456,0.6690064675379408,True,3051.0,1.0,0,27.865830421447754
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta5,sigma_omega,1.0,1.081044777997583,0.08104477799758292,0.0065682560406775,0.08104477799758292,0.8474051537033083,1.3274351581896333,True,1648.0,1.0,0,27.865830421447754
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta5,rho,0.85,0.8752154579168336,0.02521545791683366,0.0006358193179556094,0.02521545791683366,0.7095358987092714,0.9802025796245674,True,2103.0,1.0,0,27.865830421447754
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta5,sigma_direct,1.2,1.1602533390079348,-0.03974666099206514,0.0015797970600181527,0.03974666099206514,0.9210902254631849,1.3942403196054296,True,1933.0,1.0,0,27.865830421447754
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta5,sigma_collateral,0.8,0.7393668296451744,-0.06063317035482563,0.0036763813472773053,0.06063317035482563,0.3864400763246647,1.0560580713964016,True,2056.0,1.0,0,27.865830421447754
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta5,Z_fixed,,0.9,,,,,,,,,0,27.865830421447754
