Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR1,0.7,"N(0,5Â²)",HalfCauchy_beta2p5,mu_omega,0.5,0.4591302221497536,-0.040869777850246425,0.0016703387415284933,0.040869777850246425,0.2486019055679472,0.6698137735770879,True,3506.0,1.0,0,28.575598001480103
AR1,0.7,"N(0,5Â²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.052489171334971,0.05248917133497111,0.0027551131074319527,0.05248917133497111,0.8508720708839014,1.2661875778169174,True,1350.0,1.0,0,28.575598001480103
AR1,0.7,"N(0,5Â²)",HalfCauchy_beta2p5,rho,0.85,0.8751595596373165,0.02515955963731653,0.0006330034411436872,0.02515955963731653,0.7170367228500327,0.9773256846695173,True,1946.0,1.0,0,28.575598001480103
AR1,0.7,"N(0,5Â²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.1795438284879611,-0.020456171512038823,0.0004184549529299487,0.020456171512038823,0.9349384956721948,1.4127389378317783,True,1930.0,1.0,0,28.575598001480103
AR1,0.7,"N(0,5Â²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.7309358575666363,-0.06906414243336378,0.00476985577005596,0.06906414243336378,0.4568971356675849,0.9603366248180226,True,1739.0,1.0,0,28.575598001480103
AR1,0.7,"N(0,5Â²)",HalfCauchy_beta2p5,Z_fixed,,0.7,,,,,,,,,0,28.575598001480103
