Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR1,0.5,"N(0,2Â²)",HalfCauchy_beta5,mu_omega,0.5,0.47596606880199893,-0.02403393119800107,0.0005776298488302491,0.02403393119800107,0.2652731039428407,0.6784854330762166,True,2826.0,1.0,0,43.59238290786743
AR1,0.5,"N(0,2Â²)",HalfCauchy_beta5,sigma_omega,1.0,1.041364475077582,0.0413644750775819,0.001711019798443894,0.0413644750775819,0.8650448551378895,1.2479260837389854,True,1560.0,1.0,0,43.59238290786743
AR1,0.5,"N(0,2Â²)",HalfCauchy_beta5,rho,0.85,0.8729856963345997,0.02298569633459968,0.0005283422359864292,0.02298569633459968,0.7182952495989987,0.976465305039269,True,1714.0,1.0,0,43.59238290786743
AR1,0.5,"N(0,2Â²)",HalfCauchy_beta5,sigma_direct,1.2,1.1918643435438152,-0.008135656456184748,6.618890597306057e-05,0.008135656456184748,0.9356447223601578,1.4520995042426197,True,2219.0,1.0,0,43.59238290786743
AR1,0.5,"N(0,2Â²)",HalfCauchy_beta5,sigma_collateral,0.8,0.7352325643397865,-0.06476743566021359,0.004194820721999907,0.06476743566021359,0.5066682124181693,0.9323307044759971,True,1751.0,1.0,0,43.59238290786743
AR1,0.5,"N(0,2Â²)",HalfCauchy_beta5,Z_fixed,,0.5,,,,,,,,,0,43.59238290786743
