Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta2p5,mu_omega,0.5,0.43815161193386154,-0.06184838806613846,0.003825223106379658,0.06184838806613846,0.20135182096521081,0.6664774668602225,True,2892.0,1.0,0,27.583109140396118
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.081250321671156,0.08125032167115598,0.006601614771666319,0.08125032167115598,0.8506424000918211,1.3312145310317545,True,1574.0,1.0,0,27.583109140396118
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta2p5,rho,0.85,0.8745167809303508,0.024516780930350812,0.0006010725471868132,0.024516780930350812,0.7120363074866026,0.9814463634303996,True,2082.0,1.0,0,27.583109140396118
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.161899149538131,-0.03810085046186895,0.0014516748059176996,0.03810085046186895,0.9130622872197323,1.3895512572568278,True,1656.0,1.0,0,27.583109140396118
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.741796208388326,-0.058203791611673994,0.003387681357975172,0.058203791611673994,0.37458742085948943,1.063908567694492,True,1976.0,1.0,0,27.583109140396118
AR1,0.9,"N(0,10Â²)",HalfCauchy_beta2p5,Z_fixed,,0.9,,,,,,,,,0,27.583109140396118
