Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR1,0.5,"N(0,5Â²)",HalfNormal_sigma2,mu_omega,0.5,0.47595036797878504,-0.02404963202121496,0.000578384800355848,0.02404963202121496,0.27375021960518015,0.6718961899119931,True,2821.0,1.0,0,44.576762437820435
AR1,0.5,"N(0,5Â²)",HalfNormal_sigma2,sigma_omega,1.0,1.0405058494475807,0.04050584944758073,0.0016407238394700763,0.04050584944758073,0.8605863883085051,1.2471901607631013,True,1775.0,1.0,0,44.576762437820435
AR1,0.5,"N(0,5Â²)",HalfNormal_sigma2,rho,0.85,0.8737766552502017,0.023776655250201673,0.0005653293348869428,0.023776655250201673,0.720467917129449,0.9761935041732117,True,2001.0,1.0,0,44.576762437820435
AR1,0.5,"N(0,5Â²)",HalfNormal_sigma2,sigma_direct,1.2,1.1941215619803711,-0.00587843801962884,3.4556033550617836e-05,0.00587843801962884,0.9423483473776408,1.448425613695388,True,2187.0,1.0,0,44.576762437820435
AR1,0.5,"N(0,5Â²)",HalfNormal_sigma2,sigma_collateral,0.8,0.7378186941451695,-0.062181305854830504,0.0038665147978119785,0.062181305854830504,0.5028050270190477,0.9350443522741994,True,1674.0,1.0,0,44.576762437820435
AR1,0.5,"N(0,5Â²)",HalfNormal_sigma2,Z_fixed,,0.5,,,,,,,,,0,44.576762437820435
