Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR1,0.9,"N(0,2Â²)",HalfNormal_sigma2,mu_omega,0.5,0.4384869234769344,-0.06151307652306559,0.003783858583332523,0.06151307652306559,0.21520797262413086,0.6680330588713644,True,3514.0,1.0,0,31.816832065582275
AR1,0.9,"N(0,2Â²)",HalfNormal_sigma2,sigma_omega,1.0,1.0767336761964414,0.07673367619644145,0.005888057062620325,0.07673367619644145,0.8501949878150116,1.3203296488779328,True,1363.0,1.0,0,31.816832065582275
AR1,0.9,"N(0,2Â²)",HalfNormal_sigma2,rho,0.85,0.8754450269070445,0.025445026907044532,0.0006474493943002202,0.025445026907044532,0.7106978466199492,0.9795901085614936,True,2154.0,1.0,0,31.816832065582275
AR1,0.9,"N(0,2Â²)",HalfNormal_sigma2,sigma_direct,1.2,1.1645538543793743,-0.035446145620625646,0.0012564292393585988,0.035446145620625646,0.9315911950792299,1.3887243092399326,True,2212.0,1.0,0,31.816832065582275
AR1,0.9,"N(0,2Â²)",HalfNormal_sigma2,sigma_collateral,0.8,0.7435256663751054,-0.056474333624894624,0.0031893503583759037,0.056474333624894624,0.36299026300126636,1.0753002339193536,True,1269.0,1.0,0,31.816832065582275
AR1,0.9,"N(0,2Â²)",HalfNormal_sigma2,Z_fixed,,0.9,,,,,,,,,0,31.816832065582275
