Parameter,Structure,Z,MuPrior,SigmaPrior,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
mu_omega,Independent,0.5,"N(0,5²)",HalfNormal_sigma2,0.5,0.3986413819279092,-0.10135861807209079,0.010273569457483969,0.10135861807209079,0.2497939499647631,0.5530309200604716,True,2520.0,1.0,0,37.06341052055359
sigma_collateral,Independent,0.5,"N(0,2²)",HalfNormal_sigma2,0.8,0.7996897897098052,-0.0003102102901948456,9.623042414277031e-08,0.0003102102901948456,0.37090080093860955,1.253149028571453,True,1304.0,1.0,0,34.644858837127686
sigma_direct,Independent,0.9,"N(0,2²)",HalfCauchy_beta5,1.2,1.2020523796856664,0.0020523796856664056,4.212262374136134e-06,0.0020523796856664056,0.7528050652667615,1.6116279745318052,True,864.0,1.0,0,29.411070108413696
sigma_omega,Independent,0.5,"N(0,10²)",HalfCauchy_beta5,1.0,1.1874030789473933,0.18740307894739328,0.035119913998962915,0.18740307894739328,0.5691907975788536,1.5040335560321711,True,15.0,1.17,91,34.028534173965454
