Parameter,MeanPosterior,MeanRMSE,MinRMSE,MaxRMSE,CoverageRate,MinESS,MaxRhat,MaxDivergences
sigma_direct,1.180079348499457,0.020126101663335463,0.0010147620161848891,0.03974666099206514,1.0,1656.0,1.0,0
rho,0.8756356888734342,0.025635688873434207,0.022231077877645444,0.030578249008567537,1.0,1334.0,1.01,0
mu_omega,0.4575149030694489,0.04248509693055106,0.020820458917227502,0.06474324432742379,1.0,2696.0,1.0,0
sigma_omega,1.0554354710896088,0.055435471089608904,0.02940201817332455,0.08125032167115598,1.0,1210.0,1.0,0
sigma_collateral,0.7390665286713762,0.06093347132862378,0.048543774614245416,0.07156087012316215,1.0,1269.0,1.0,0
