Parameter,MeanPosterior,MeanRMSE,MinRMSE,MaxRMSE,CoverageRate,MinESS,MaxRhat,MaxDivergences
rho,0.8755762295330691,0.02557622953306911,0.02227870925055586,0.028591197759459175,1.0,2029.0,1.0,0
sigma_collateral,0.7597188935016738,0.040281106498326356,0.03331335057161633,0.049164603420566055,1.0,1716.0,1.0,0
sigma_direct,1.1566165086098623,0.04338349139013767,0.03580476310678615,0.05176635411071118,1.0,1843.0,1.01,0
mu_omega,0.43121714719236426,0.06878285280763576,0.06324687303829502,0.07282903612452357,1.0,2854.0,1.0,0
sigma_omega,1.085998046600641,0.08599804660064103,0.07564569231954699,0.09689504421694428,1.0,1784.0,1.01,0
