ZPrior,MeanZ,MinZ,MaxZ,MeanLower95CrI,MeanUpper95CrI,MinESS,MaxRhat
Beta_1_1_sampled,0.947233553671801,0.9471747961844726,0.9473424534694634,0.9397207493567611,0.9499355331915308,2062.0,1.0
Beta_2_2_sampled,0.9444740834784907,0.9443556493251469,0.9445430680672291,0.9345073428565951,0.9493650766449445,2610.0,1.0
