Parameter,Structure,ZPrior,MuPrior,SigmaPrior,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
mu_omega,AR(1),Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta1,0.5,0.436753126961705,-0.06324687303829502,0.004000166949122209,0.06324687303829502,0.20354907575556952,0.6669421100308816,True,3036.0,1.0,0,74.37267994880676
rho,AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,0.85,0.8722787092505558,0.02227870925055586,0.0004963408858708033,0.02227870925055586,0.6968310722484923,0.9828881019099834,True,2743.0,1.0,0,72.22706580162048
sigma_collateral,AR(1),Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,0.8,0.7666866494283837,-0.03331335057161633,0.00110977932630741,0.03331335057161633,0.3862003721067298,1.1408150419353098,True,2282.0,1.0,0,29.357280254364014
sigma_direct,AR(1),Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta1,1.2,1.1641952368932138,-0.03580476310678615,0.0012819810611330747,0.03580476310678615,0.9227223912953267,1.3973428801355174,True,2110.0,1.0,0,74.37267994880676
sigma_omega,AR(1),Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta1,1.0,1.075645692319547,0.07564569231954699,0.00572227076650357,0.07564569231954699,0.8326432273248088,1.3336923118728214,True,1971.0,1.0,0,74.37267994880676
