Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,0.7,"N(0,5²)",HalfNormal_sigma2,mu_omega,0.5,0.36937483490146916,-0.13062516509853084,0.01706293375701844,0.13062516509853084,0.20145752063269837,0.5406852334054738,True,2143.0,1.0,0,33.08482336997986
Independent,0.7,"N(0,5²)",HalfNormal_sigma2,sigma_omega,1.0,1.2536898673273718,0.25368986732737175,0.06435854878457949,0.25368986732737175,0.8383016639253699,1.5279400931443172,True,1164.0,1.0,0,33.08482336997986
Independent,0.7,"N(0,5²)",HalfNormal_sigma2,sigma_direct,1.2,1.2115759737678153,0.011575973767815384,0.0001340031686731499,0.011575973767815384,0.8346513111063614,1.5562956286358645,True,1392.0,1.0,0,33.08482336997986
Independent,0.7,"N(0,5²)",HalfNormal_sigma2,sigma_collateral,0.8,0.7971366234085853,-0.002863376591414779,8.19892550426212e-06,0.002863376591414779,0.3354510447229875,1.2368982834220157,True,1212.0,1.0,0,33.08482336997986
Independent,0.7,"N(0,5²)",HalfNormal_sigma2,Z_fixed,,0.7,,,,,,,,,0,33.08482336997986
