Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,0.7,"N(0,10²)",HalfCauchy_beta5,mu_omega,0.5,0.3680689230100643,-0.13193107698993572,0.017405809075724348,0.13193107698993572,0.19990708232752868,0.5389193178291728,True,2014.0,1.0,0,32.72382402420044
Independent,0.7,"N(0,10²)",HalfCauchy_beta5,sigma_omega,1.0,1.2462126740056716,0.2462126740056716,0.060620680841023115,0.2462126740056716,0.7603231953036522,1.536309552909461,True,1056.0,1.0,0,32.72382402420044
Independent,0.7,"N(0,10²)",HalfCauchy_beta5,sigma_direct,1.2,1.2141328876895656,0.014132887689565665,0.00019973851444587672,0.014132887689565665,0.8059950792301849,1.592299853916173,True,1103.0,1.0,0,32.72382402420044
Independent,0.7,"N(0,10²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8091814652090702,0.00918146520907015,8.429930338536558e-05,0.00918146520907015,0.3542452318480459,1.2797372572482002,True,1173.0,1.0,0,32.72382402420044
Independent,0.7,"N(0,10²)",HalfCauchy_beta5,Z_fixed,,0.7,,,,,,,,,0,32.72382402420044
