Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,0.5,"N(0,2²)",HalfCauchy_beta5,mu_omega,0.5,0.3940848072038057,-0.10591519279619432,0.011218028065055015,0.10591519279619432,0.2393462383344707,0.5440542444735318,True,2108.0,1.0,0,35.73590970039368
Independent,0.5,"N(0,2²)",HalfCauchy_beta5,sigma_omega,1.0,1.2586456033295204,0.25864560332952036,0.06689754812169159,0.25864560332952036,0.8500704374369364,1.506784622086177,True,1381.0,1.0,0,35.73590970039368
Independent,0.5,"N(0,2²)",HalfCauchy_beta5,sigma_direct,1.2,1.2160148014122063,0.016014801412206348,0.0002564738642724064,0.016014801412206348,0.823623927219144,1.5798060681938846,True,1619.0,1.0,0,35.73590970039368
Independent,0.5,"N(0,2²)",HalfCauchy_beta5,sigma_collateral,0.8,0.782794436795666,-0.017205563204334084,0.000296031405178335,0.017205563204334084,0.339358652894838,1.2235327429029912,True,1335.0,1.0,0,35.73590970039368
Independent,0.5,"N(0,2²)",HalfCauchy_beta5,Z_fixed,,0.5,,,,,,,,,0,35.73590970039368
