Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,0.5,"N(0,5²)",HalfNormal_sigma2,mu_omega,0.5,0.3986413819279092,-0.10135861807209079,0.010273569457483969,0.10135861807209079,0.2497939499647631,0.5530309200604716,True,2520.0,1.0,0,37.06341052055359
Independent,0.5,"N(0,5²)",HalfNormal_sigma2,sigma_omega,1.0,1.2433996542358055,0.24339965423580545,0.059243391682109646,0.24339965423580545,0.8159783918082237,1.4965999539058863,True,1408.0,1.0,0,37.06341052055359
Independent,0.5,"N(0,5²)",HalfNormal_sigma2,sigma_direct,1.2,1.2277581146512466,0.027758114651246668,0.0007705129289917549,0.027758114651246668,0.8515384401656981,1.604292823837044,True,1511.0,1.0,0,37.06341052055359
Independent,0.5,"N(0,5²)",HalfNormal_sigma2,sigma_collateral,0.8,0.8037978763378769,0.003797876337876871,1.4423864677805032e-05,0.003797876337876871,0.36968488343838657,1.2539623692822128,True,1342.0,1.0,0,37.06341052055359
Independent,0.5,"N(0,5²)",HalfNormal_sigma2,Z_fixed,,0.5,,,,,,,,,0,37.06341052055359
