Scenario,Z,MuPriorSD,SigmaPrior,Status,Divergences,ElapsedSeconds,TraceFile,TraceplotFile,TraceSaveWarning,Error
19,0.7,5,HalfCauchy_beta5,success,0,31.447994709014893,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_19_Z0p7_mu5_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_19_Z0p7_mu5_HalfCauchy_beta5.png,,
20,0.7,5,HalfNormal_sigma2,success,0,33.08482336997986,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_20_Z0p7_mu5_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_20_Z0p7_mu5_HalfNormal_sigma2.png,,
21,0.7,10,HalfCauchy_beta1,success,0,34.29704141616821,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_21_Z0p7_mu10_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_21_Z0p7_mu10_HalfCauchy_beta1.png,,
22,0.7,10,HalfCauchy_beta2p5,success,0,32.75073480606079,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_22_Z0p7_mu10_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_22_Z0p7_mu10_HalfCauchy_beta2p5.png,,
23,0.7,10,HalfCauchy_beta5,success,0,32.72382402420044,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_23_Z0p7_mu10_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_23_Z0p7_mu10_HalfCauchy_beta5.png,,
24,0.7,10,HalfNormal_sigma2,success,0,32.74859809875488,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_24_Z0p7_mu10_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_24_Z0p7_mu10_HalfNormal_sigma2.png,,
25,0.5,2,HalfCauchy_beta1,success,0,37.23860287666321,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_25_Z0p5_mu2_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_25_Z0p5_mu2_HalfCauchy_beta1.png,,
26,0.5,2,HalfCauchy_beta2p5,success,0,36.41871476173401,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_26_Z0p5_mu2_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_26_Z0p5_mu2_HalfCauchy_beta2p5.png,,
27,0.5,2,HalfCauchy_beta5,success,0,35.73590970039368,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_27_Z0p5_mu2_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_27_Z0p5_mu2_HalfCauchy_beta5.png,,
28,0.5,2,HalfNormal_sigma2,success,0,34.644858837127686,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_28_Z0p5_mu2_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_28_Z0p5_mu2_HalfNormal_sigma2.png,,
29,0.5,5,HalfCauchy_beta1,success,0,36.946414947509766,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_29_Z0p5_mu5_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_29_Z0p5_mu5_HalfCauchy_beta1.png,,
30,0.5,5,HalfCauchy_beta2p5,success,0,35.379565715789795,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_30_Z0p5_mu5_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_30_Z0p5_mu5_HalfCauchy_beta2p5.png,,
31,0.5,5,HalfCauchy_beta5,success,0,35.51396322250366,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_31_Z0p5_mu5_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_31_Z0p5_mu5_HalfCauchy_beta5.png,,
32,0.5,5,HalfNormal_sigma2,success,0,37.06341052055359,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_32_Z0p5_mu5_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_32_Z0p5_mu5_HalfNormal_sigma2.png,,
33,0.5,10,HalfCauchy_beta1,success,0,37.37755107879639,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_33_Z0p5_mu10_HalfCauchy_beta1.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_33_Z0p5_mu10_HalfCauchy_beta1.png,,
34,0.5,10,HalfCauchy_beta2p5,success,0,35.91237831115723,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_34_Z0p5_mu10_HalfCauchy_beta2p5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_34_Z0p5_mu10_HalfCauchy_beta2p5.png,,
35,0.5,10,HalfCauchy_beta5,success,91,34.028534173965454,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_35_Z0p5_mu10_HalfCauchy_beta5.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_35_Z0p5_mu10_HalfCauchy_beta5.png,,
36,0.5,10,HalfNormal_sigma2,success,0,37.25149440765381,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\posterior_traces\scenario_36_Z0p5_mu10_HalfNormal_sigma2.pkl,F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Main Sensitivity\Independent_fixedZ_results\traceplots\traceplot_scenario_36_Z0p5_mu10_HalfNormal_sigma2.png,,
