Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,0.5,"N(0,2²)",HalfCauchy_beta2p5,mu_omega,0.5,0.39319549249747215,-0.10680450750252785,0.011407202822857527,0.10680450750252785,0.2372523141897686,0.5401165621091857,True,2182.0,1.0,0,36.41871476173401
Independent,0.5,"N(0,2²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.2422045564224231,0.2422045564224231,0.05866304715178274,0.2422045564224231,0.8338303424519358,1.5045307984642209,True,1386.0,1.0,0,36.41871476173401
Independent,0.5,"N(0,2²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.2260773476046565,0.02607734760465652,0.0006800280580940852,0.02607734760465652,0.8281498493981593,1.582872340703781,True,1633.0,1.0,0,36.41871476173401
Independent,0.5,"N(0,2²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.8056280397088622,0.005628039708862165,3.167483096452932e-05,0.005628039708862165,0.3601610566910556,1.2261150733556825,True,1464.0,1.0,0,36.41871476173401
Independent,0.5,"N(0,2²)",HalfCauchy_beta2p5,Z_fixed,,0.5,,,,,,,,,0,36.41871476173401
