Structure,Z,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,0.5,"N(0,2²)",HalfNormal_sigma2,mu_omega,0.5,0.39804051897846554,-0.10195948102153446,0.010395735770180646,0.10195948102153446,0.24030995174190264,0.5551412051300938,True,2556.0,1.0,0,34.644858837127686
Independent,0.5,"N(0,2²)",HalfNormal_sigma2,sigma_omega,1.0,1.2452136854556353,0.24521368545563527,0.06012975153473523,0.24521368545563527,0.7900324600976616,1.5020300141893546,True,1325.0,1.0,0,34.644858837127686
Independent,0.5,"N(0,2²)",HalfNormal_sigma2,sigma_direct,1.2,1.2248058461895552,0.02480584618955528,0.0006153300051798742,0.02480584618955528,0.8464321340096792,1.6018886889507569,True,1343.0,1.0,0,34.644858837127686
Independent,0.5,"N(0,2²)",HalfNormal_sigma2,sigma_collateral,0.8,0.7996897897098052,-0.0003102102901948456,9.623042414277031e-08,0.0003102102901948456,0.37090080093860955,1.253149028571453,True,1304.0,1.0,0,34.644858837127686
Independent,0.5,"N(0,2²)",HalfNormal_sigma2,Z_fixed,,0.5,,,,,,,,,0,34.644858837127686
