Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,mu_omega,0.5,0.43094704375632725,-0.06905295624367275,0.004768310765990583,0.06905295624367275,0.18709998454396123,0.6663820516885699,True,3309.0,1.0,0,72.8178939819336
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,sigma_omega,1.0,1.0874932349272455,0.08749323492724548,0.007655066158034168,0.08749323492724548,0.8434612754407737,1.3504473301787407,True,1958.0,1.0,0,72.8178939819336
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,rho,0.85,0.8751056826550264,0.02510568265502644,0.0006302953015748955,0.02510568265502644,0.6894979319102686,0.9817570736824098,True,2454.0,1.0,0,72.8178939819336
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,sigma_direct,1.2,1.1546977949639365,-0.045302205036063414,0.0020522897811295292,0.045302205036063414,0.9001660995412224,1.3816884402829146,True,2101.0,1.0,0,72.8178939819336
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,sigma_collateral,0.8,0.764770606497125,-0.03522939350287502,0.0012411101665804126,0.03522939350287502,0.3837302636484828,1.1226943597313261,True,2965.0,1.0,0,72.8178939819336
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,Z,,0.9443556493251469,,,,0.9341591259016321,0.9493642249302793,,2730.0,1.0,0,72.8178939819336
